,counter,pearson,pearson_p,spearman,spearman_p
0,atu_cache_evictions,-0.38811888445427506,1.6705969512045844e-05,-0.40193677620916607,7.741568025603995e-06
1,atu_cache_hit_base_page_size_0,0.6146984306456816,2.1368067343495753e-13,0.6065890131857148,5.324154432258773e-13
2,atu_cache_hit_derivative1_page_size_0,-0.8701740412877639,7.773556237702615e-37,-0.8439241917502788,1.2948366273732668e-32
3,lpe_net_match_priority_0,-0.056954471908345294,0.5436727011198103,0.18303924960596624,0.04921871079874038
4,lpe_net_match_overflow_0,-0.8701766633392046,7.76520997019187e-37,-0.8439241917502788,1.2948366273732668e-32
5,lpe_net_match_request_0,0.4412676004252265,7.12161904302952e-07,0.6428278986612228,7.278504973015807e-15
6,lpe_rndzv_puts_0,,,,
7,lpe_rndzv_puts_offloaded_0,,,,
8,hni_rx_paused_0,-0.28345679155301917,0.002046775616301226,-0.512128551109061,4.199071610692939e-09
9,hni_rx_paused_1,0.8080994849317682,5.7559282313667925e-28,0.5738976665513398,1.645635586929778e-11
10,hni_tx_paused_1,0.45185778036516183,3.55280878953265e-07,0.2568638757544305,0.005379076218351108
11,parbs_tarb_pi_posted_pkts,0.10626530902497913,0.256234674306752,0.4622919309575981,1.7493512203292337e-07
12,parbs_tarb_pi_posted_blocked_cnt,-0.47343475016644904,7.99442230405764e-08,-0.6007150271018338,1.0150690311953167e-12
13,parbs_tarb_pi_non_posted_pkts,-0.5842511825497008,5.7852680137116695e-12,-0.4684734555799024,1.1368514755111485e-07
14,parbs_tarb_pi_non_posted_blocked_cnt,-0.7298826002895905,1.4842291212529374e-20,-0.717149117748818,1.3686559532220603e-19
15,pct_mst_hit_on_som,0.7180414021057654,1.176024997568695e-19,0.729505223769158,1.5881006191107317e-20
16,rh:nack_resource_busy,0.7412501694272295,1.831483036985156e-21,0.749819950544057,3.5134497131606235e-22
17,rh:nacks,0.4624596727047934,1.729204694928543e-07,0.6166919751259372,1.7003941016271511e-13
18,rh:nack_sequence_error,0.45563249375276327,2.7570063158268797e-07,0.6143842107902302,2.2148268326455594e-13
19,rh:tct_timeouts,-0.04121454358646117,0.6604632109821885,0.01575729697638611,0.8666747108637409
20,parbs_tarb_pi_non_posted_cong_rate,-0.7279290191044233,2.104008525322813e-20,-0.720186060815746,8.147673326835383e-20
21,parbs_tarb_pi_posted_cong_rate,-0.4715299649806505,9.157618146696934e-08,-0.6036981509245377,7.32636891157357e-13
22,rh:sct_timeouts,-0.0922111756627974,0.324875262301087,-0.0025620105743302474,0.9782245164811365
23,rh:spt_timeouts,-0.15466756851436178,0.09736349741758991,-0.008133927426761353,0.9309435430447444
24,pct_trs_rsp_nack_drops,-0.13551563226891541,0.14693542306924182,-0.03548531275777811,0.70530528646435
25,rh:pkts_cancelled_o,-0.11699664651050456,0.21102700104395086,-0.07849209901901283,0.40229824503178935
26,rh:nack_no_target_trs,0.2378030235332677,0.010156207891013052,0.30893269969656456,0.000740292005418681
27,rh:sct_in_use,-0.031653851139975625,0.7358795401407843,0.024287326135079675,0.7957989478980132
28,rh:nack_no_matching_conn,-0.028589748698023876,0.760633785083815,0.10038636773510642,0.2836318211136027
29,rh:connections_cancelled,-0.044154194971095094,0.6379015721974981,0.03955590672566407,0.6733305441110207
30,hni_tx_paused_0,0.057616732410609335,0.5389896808196802,0.12114042940037026,0.19519299475378551
