counter,stat_type,pearson,pearson_p,spearman,spearman_p
rh:spt_timeouts,mean,0.08167189462074502,0.5079040269536981,0.39732464768430875,0.0007938392491567188
atu_cache_evictions,mean,-0.10665569573075476,0.38666983490071577,-0.18502858750512471,0.130897168662037
atu_cache_hit_base_page_size_0,mean,0.2693842345952639,0.026320106775556656,0.037256174371111186,0.7629332457240712
atu_cache_hit_derivative1_page_size_0,mean,-0.15007473565725832,0.22188309822620794,-0.04630301179524372,0.7077001298514163
lpe_net_match_priority_0,mean,0.015889806759464796,0.8976666505251675,0.12011031903359305,0.3292478623718569
lpe_net_match_overflow_0,mean,0.14244997422062705,0.24653148518628465,0.030805347993042936,0.8030692172899381
lpe_net_match_request_0,mean,0.2193387011766361,0.07231445096461357,-0.22437683704240943,0.06584371449059316
lpe_rndzv_puts_0,mean,,,,
lpe_rndzv_puts_offloaded_0,mean,,,,
hni_rx_paused_0,mean,-0.7510016008103887,1.633112792058052e-13,-0.579722869030805,2.214725882229877e-07
hni_rx_paused_1,mean,-0.7910681103847551,1.0032832453096958e-15,-0.6254151238691453,1.1854722945072332e-08
hni_tx_paused_1,mean,-0.10790595458243729,0.3810955261014172,0.0991334885673932,0.4212215376530337
parbs_tarb_pi_posted_pkts,mean,0.7365229286700996,8.167202898091328e-13,-0.01519257930297362,0.9021343497928376
parbs_tarb_pi_posted_blocked_cnt,mean,-0.5390304973909515,2.112634924776366e-06,-0.3962667481009275,0.0008222604207689196
parbs_tarb_pi_non_posted_pkts,mean,-0.3756106941853511,0.001597419570104538,-0.11119593846623659,0.36665908742010334
parbs_tarb_pi_non_posted_blocked_cnt,mean,-0.4889477833464191,2.3292706996811464e-05,-0.534374164980723,2.6845817583568205e-06
pct_trs_rsp_nack_drops,mean,0.09115807217989375,0.4597166661644737,0.41897737742506347,0.0003765054149379837
pct_mst_hit_on_som,mean,0.21935219414707893,0.07229646574865461,0.20689528745050448,0.09048566179384346
rh:nack_resource_busy,mean,0.17942954318690055,0.1431684257167291,0.10435994779051247,0.3970312033910013
rh:nacks,mean,0.05637288709039471,0.6479530768994927,0.2891433169771849,0.016781689947925362
rh:nack_sequence_error,mean,0.06977770565630446,0.5717855727923736,0.2918409324615565,0.015744417129690293
rh:nack_no_target_trs,mean,0.25888921869009307,0.03302617526049496,0.1911146158781422,0.11848096791672263
rh:sct_timeouts,mean,-0.02111829515359593,0.8642738458348616,-0.04045802063793988,0.7432336405660582
hni_tx_paused_0,mean,-0.015613503810653927,0.8994367753305342,-0.15180724700332038,0.21653185685021073
rh:pkts_cancelled_o,mean,-0.02111829515359593,0.8642738458348616,-0.04045802063793988,0.7432336405660582
parbs_tarb_pi_non_posted_cong_rate,mean,-0.4885310084635843,2.3725944227603197e-05,-0.534374164980723,2.6845817583568205e-06
parbs_tarb_pi_posted_cong_rate,mean,-0.5403486259761356,1.972810849130884e-06,-0.3942817879909913,0.0008780884863928972
